Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
Germany,DE,Soil Map Germany BÜK200,BGR,Variable (1:200k),Raster/Vector,Germany,buek_fetch (guidance),Free/Open,Static,"Soil overview map of Germany"
Italy,IT,INGV Seismic Hazard Map,INGV,Variable,Raster,Italy,ingv_seismic_fetch,Free/Open,Static (2004),"Official Italian seismic hazard"
Italy,IT,IFFI Landslide Inventory,ISPRA,Vector,Vector,Italy,iffi_fetch,Free/Open,Continuous,"650k+ landslides, best European inventory"
Italy,IT,Italian Faults Database,INGV,Vector,Vector,Italy,ingv_faults_fetch,Free/Open,Continuous,"Active and capable faults"
Italy,IT,Italian Soil Map,JRC/ISPRA,1000000,Vector,Italy,italian_soil_fetch (guidance),Free/Open,Static,"National soil map"
Spain,ES,Spanish Seismic Hazard,IGN Spain,Variable,Raster,Spain,ign_seismic_fetch (guidance),Free/Open,Static,"Official seismic hazard maps"
Spain,ES,ZESIS Seismic Database,IGN,Point,Vector (point),Spain,zesis_fetch (guidance),Free/Open,Continuous,"Historical earthquakes"
Spain,ES,Spanish Soil Information System,CSIC,Variable,Raster/Vector,Spain,siss_fetch (guidance),Free/Open,Varies,"Soil types and properties"
UK,GB,National Seismic Hazard UK,BGS,Variable,Raster,UK,bgs_seismic_fetch (guidance),Open,Static,"British Geological Survey seismic hazard"
UK,GB,National Landslide Database,BGS,Vector,Vector,UK,bgs_landslides_fetch (guidance),Open,Continuous,"17k+ landslides"
UK,GB,Soil Map England Wales,Cranfield University,Vector (1:250k),Vector,England/Wales,natmap_soil_fetch (guidance),Open,Static,"National soil map"
Norway,NO,Norwegian National Seismic Network,NORSAR,Point,Vector (point),Norway,norsar_fetch (guidance),Free/Open,Real-time,"Earthquake monitoring"
Norway,NO,Norwegian Soil Database,NIBIO,Variable,Raster/Vector,Norway,nibio_soil_fetch (guidance),Free/Open,Continuous,"Agricultural and forest soils"
Russia,RU,Russian Seismic Hazard,Russian Academy,Variable,Raster,Russia,russian_seismic_fetch (guidance),Varies,Static,"Official seismic zonation (limited open access)"
Russia,RU,Global Seismic Hazard (for Russia),USGS/GEM,Variable,Raster,Russia (use global),seismic_hazard_fetch,Public Domain,Static,"Best open alternative"
China,CN,China Seismic Hazard Map,CEA,Variable,Raster,China,cea_seismic_fetch (guidance),Restricted,Static (2015),"Official Chinese seismic hazard (limited access)"
China,CN,Global Seismic Hazard (for China),USGS/GEM,Variable,Raster,China (use global),seismic_hazard_fetch,Public Domain,Static,"Open alternative"
China,CN,China Soil Database,Institute of Soil Science,Variable,Raster/Vector,China,china_soil_fetch (guidance),Restricted,Varies,"Official soil data (limited access)"
Australia,AU,Australian Seismic Hazard Map,Geoscience Australia,Variable,Raster,Australia,ga_seismic_fetch (guidance),Free/Open,Static (2018),"National seismic hazard assessment"
Australia,AU,National Landslide Database,Geoscience Australia,Vector,Vector,Australia (partial),ga_landslides_fetch (guidance),Free/Open,Varies,"Landslide locations and attributes"
Australia,AU,Soil and Landscape Grid,CSIRO,90,Raster,Australia,slga_fetch (guidance),Free/Open,Static (2020),"9 soil properties at multiple depths"
Saudi Arabia,SA,Seismic Hazard Saudi Arabia,USGS/GEM,Variable,Raster,Saudi Arabia (use global),seismic_hazard_fetch,Public Domain,Static,"Moderate seismic risk in western regions"
UAE,AE,Seismic Hazard UAE,USGS/GEM,Variable,Raster,UAE (use global),seismic_hazard_fetch,Public Domain,Static,"Low to moderate seismic risk"
Qatar,QA,Seismic Hazard Qatar,USGS/GEM,Variable,Raster,Qatar (use global),seismic_hazard_fetch,Public Domain,Static,"Low seismic risk"
Kuwait,KW,Seismic Hazard Kuwait,USGS/GEM,Variable,Raster,Kuwait (use global),seismic_hazard_fetch,Public Domain,Static,"Low seismic risk"
Iraq,IQ,Seismic Hazard Iraq,USGS/GEM,Variable,Raster,Iraq (use global),seismic_hazard_fetch,Public Domain,Static,"Moderate to high seismic risk in northern regions"
Iran,IR,Iranian Seismic Hazard,IIEES,Variable,Raster,Iran,iiees_seismic_fetch (guidance),Free/Open,Static,"High seismic risk, official Iranian maps"
Brazil,BR,Brazilian Seismic Hazard,UnB/IG,Variable,Raster,Brazil,brazil_seismic_fetch (guidance),Free/Open,Static,"Low overall seismic risk"
Brazil,BR,Brazilian Soil Database,Embrapa,Variable,Raster/Vector,Brazil,embrapa_soil_fetch (guidance),Free/Open,Continuous,"Comprehensive Brazilian soil information"
Brazil,BR,Landslide Risk Areas,CEMADEN,Vector,Vector,Brazil (urban areas),cemaden_landslides_fetch (guidance),Free/Open,Continuous,"Urban landslide monitoring"
Venezuela,VE,Seismic Hazard Venezuela,USGS/GEM,Variable,Raster,Venezuela (use global),seismic_hazard_fetch,Public Domain,Static,"Moderate to high seismic risk in northern coastal regions"
Mexico,MX,Mexican Seismic Hazard,SSN/UNAM,Variable,Raster,Mexico,ssn_seismic_fetch (guidance),Free/Open,Static,"High seismic risk, especially Pacific coast"
Mexico,MX,Active Faults Mexico,SGM,Vector,Vector,Mexico,sgm_faults_fetch (guidance),Free/Open,Varies,"Mexican Geological Service fault database"
Mexico,MX,INEGI Soil Map,INEGI,250000,Vector,Mexico,inegi_soil_fetch (guidance),Free/Open,Static,"National soil types (1:250k)"
Nigeria,NG,Seismic Hazard Nigeria,USGS/GEM,Variable,Raster,Nigeria (use global),seismic_hazard_fetch,Public Domain,Static,"Low seismic risk"
Algeria,DZ,Seismic Hazard Algeria,USGS/GEM,Variable,Raster,Algeria (use global),seismic_hazard_fetch,Public Domain,Static,"Moderate to high seismic risk in northern regions"
Angola,AO,Seismic Hazard Angola,USGS/GEM,Variable,Raster,Angola (use global),seismic_hazard_fetch,Public Domain,Static,"Low seismic risk"
Libya,LY,Seismic Hazard Libya,USGS/GEM,Variable,Raster,Libya (use global),seismic_hazard_fetch,Public Domain,Static,"Low to moderate seismic risk"
Kazakhstan,KZ,Seismic Hazard Kazakhstan,USGS/GEM,Variable,Raster,Kazakhstan (use global),seismic_hazard_fetch,Public Domain,Static,"Moderate to high seismic risk in southeastern regions"
Oman,OM,Seismic Hazard Oman,USGS/GEM,Variable,Raster,Oman (use global),seismic_hazard_fetch,Public Domain,Static,"Low to moderate seismic risk"
Indonesia,ID,Indonesian Seismic Hazard,BMKG,Variable,Raster,Indonesia,bmkg_seismic_fetch (guidance),Free/Open,Static,"Very high seismic risk, Ring of Fire"
Indonesia,ID,Indonesian Volcano Database,PVMBG,Point,Vector (point),Indonesia,pvmbg_volcano_fetch (guidance),Free/Open,Continuous,"130+ active volcanoes"
Indonesia,ID,Indonesian Landslide Database,BNPB,Vector,Vector,Indonesia,bnpb_landslides_fetch (guidance),Free/Open,Continuous,"National disaster management landslide data"
Malaysia,MY,Malaysian Seismic Hazard,JMG,Variable,Raster,Malaysia,jmg_seismic_fetch (guidance),Free/Open,Static,"Low seismic risk, except Sabah"
Azerbaijan,AZ,Seismic Hazard Azerbaijan,USGS/GEM,Variable,Raster,Azerbaijan (use global),seismic_hazard_fetch,Public Domain,Static,"Moderate to high seismic risk"
Egypt,EG,Seismic Hazard Egypt,USGS/GEM,Variable,Raster,Egypt (use global),seismic_hazard_fetch,Public Domain,Static,"Moderate seismic risk in Gulf of Suez and Red Sea regions"



