Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
Canada,CA,RCM (RADARSAT Constellation),CSA,3-100,Raster (SAR),Global (Canada priority),rcm_fetch (guidance),Commercial/Gov,Daily,"Canadian C-band SAR constellation"
Canada,CA,PlanetScope Canada,Planet,3,Raster,Canada (use global),planet_fetch (guidance),Commercial,Daily,"Commercial high-frequency"
Europe,EU,Sentinel-2 Europe,ESA,10/20,Raster,Europe (use global),sentinel2_fetch,Free/Open,Every 2-3 days,"Excellent European coverage, frequent revisit"
Europe,EU,Sentinel-1 Europe,ESA,10,Raster (SAR),Europe (priority),sentinel1_fetch (guidance),Free/Open,Every 6 days,"Best SAR coverage for Europe"
France,FR,Sentinel-2 France,ESA,10/20,Raster,France (use global),sentinel2_fetch,Free/Open,Every 2-3 days,"Excellent coverage"
France,FR,SPOT 6/7 France,Airbus,1.5,Raster,France priority,airbus_fetch (guidance),Commercial,"Daily","French commercial satellite"
France,FR,BD ORTHO,IGN France,0.2-0.5,Raster (RGB),France,bdortho_fetch (guidance),Free/Open,Every 3 years,"Nationwide orthophotography"
Germany,DE,Sentinel-2 Germany,ESA,10/20,Raster,Germany (use global),sentinel2_fetch,Free/Open,Every 2-3 days,"Excellent coverage"
Germany,DE,DOP (Digital Orthophotos),BKG/States,0.2-0.4,Raster (RGB/RGBN),Germany,dop_fetch (guidance),Free/Open,Every 2-3 years,"State-level orthophotos"
Italy,IT,Sentinel-2 Italy,ESA,10/20,Raster,Italy (use global),sentinel2_fetch,Free/Open,Every 2-3 days,"Excellent coverage"
Italy,IT,AGEA Orthophotos,AGEA,0.5,Raster (RGB),Italy (agricultural),agea_ortho_fetch (guidance),Free/Open,Every 2-3 years,"Agricultural imagery"
Spain,ES,Sentinel-2 Spain,ESA,10/20,Raster,Spain (use global),sentinel2_fetch,Free/Open,Every 2-3 days,"Excellent coverage"
Spain,ES,PNOA Orthophotos,IGN Spain,0.25-0.5,Raster (RGBN),Spain,pnoa_fetch (guidance),Free/Open,Every 2-3 years,"National orthophoto program"
UK,GB,Sentinel-2 UK,ESA,10/20,Raster,UK (use global),sentinel2_fetch,Free/Open,Every 5 days (cloud permitting),"Good when cloud-free"
UK,GB,OS Aerial Imagery,Ordnance Survey,0.25,Raster (RGB),UK,os_aerial_fetch (guidance),Commercial/Gov,Every 2-3 years,"Very high resolution"
Norway,NO,Sentinel-2 Norway,ESA,10/20,Raster,Norway (use global),sentinel2_fetch,Free/Open,Every 5 days (summer),"Limited winter coverage due to snow/clouds"
Norway,NO,Norge i bilder,Norwegian Mapping Authority,0.1-0.5,Raster (RGB/RGBN),Norway,nib_fetch (guidance),Free/Open,Every 3-5 years,"National orthophoto portal"
Russia,RU,Sentinel-2 Russia,ESA,10/20,Raster,Russia (use global),sentinel2_fetch,Free/Open,Every 5 days,"Best free option for Russia"
Russia,RU,Landsat Russia,USGS,30,Raster,Russia (use global),landsat_fetch (guidance),Public Domain,Every 16 days,"Free archive"
Russia,RU,Resurs-P,Roscosmos,1-3,Raster,Russia priority,resurs_fetch (guidance),Restricted,Varies,"Russian Earth observation (limited public access)"
China,CN,Sentinel-2 China,ESA,10/20,Raster,China (use global),sentinel2_fetch,Free/Open,Every 5 days,"Best free option for China"
China,CN,Landsat China,USGS,30,Raster,China (use global),landsat_fetch (guidance),Public Domain,Every 16 days,"Free long-term archive"
China,CN,Gaofen-1/2,CNSA,2-8,Raster,China/Global,gaofen_fetch (guidance),Restricted,Every 4 days,"Chinese high-resolution satellites (limited public access)"
Australia,AU,Sentinel-2 Australia,ESA,10/20,Raster,Australia (use global),sentinel2_fetch,Free/Open,Every 5 days,"Good coverage"
Australia,AU,Landsat Australia,USGS,30,Raster,Australia (use global),landsat_fetch (guidance),Public Domain,Every 16 days,"Digital Earth Australia provides analysis-ready"
Australia,AU,SPOT Australia,Airbus/GA,2.5-10,Raster,Australia,spot_australia_fetch (guidance),Gov program,Archive,"Historical national coverage"
Saudi Arabia,SA,Sentinel-2 Saudi Arabia,ESA,10/20,Raster,Saudi Arabia (use global),sentinel2_fetch,Free/Open,Every 5 days,"Minimal cloud cover, excellent conditions"
Saudi Arabia,SA,Landsat Saudi Arabia,USGS,30,Raster,Saudi Arabia (use global),landsat_fetch (guidance),Public Domain,Every 16 days,"Arid climate = cloud-free imagery"
UAE,AE,Sentinel-2 UAE,ESA,10/20,Raster,UAE (use global),sentinel2_fetch,Free/Open,Every 5 days,"Excellent imaging conditions"
UAE,AE,Landsat UAE,USGS,30,Raster,UAE (use global),landsat_fetch (guidance),Public Domain,Every 16 days,"Cloud-free imagery"
Qatar,QA,Sentinel-2 Qatar,ESA,10/20,Raster,Qatar (use global),sentinel2_fetch,Free/Open,Every 5 days,"Excellent conditions"
Kuwait,KW,Sentinel-2 Kuwait,ESA,10/20,Raster,Kuwait (use global),sentinel2_fetch,Free/Open,Every 5 days,"Arid climate, cloud-free"
Iraq,IQ,Sentinel-2 Iraq,ESA,10/20,Raster,Iraq (use global),sentinel2_fetch,Free/Open,Every 5 days,"Good coverage"
Iran,IR,Sentinel-2 Iran,ESA,10/20,Raster,Iran (use global),sentinel2_fetch,Free/Open,Every 5 days,"Good coverage, mostly arid"
Brazil,BR,Sentinel-2 Brazil,ESA,10/20,Raster,Brazil (use global),sentinel2_fetch,Free/Open,Every 5 days,"Frequent cloud cover in Amazon"
Brazil,BR,CBERS-4/4A,INPE/CNSA,2-80,Raster (multispectral),Brazil/Global,cbers_fetch (guidance),Free/Open,Every 5 days,"China-Brazil Earth Resources Satellite"
Brazil,BR,Planet Brazil,Planet,3,Raster,Brazil (use global),planet_fetch (guidance),Commercial,Daily,"High-frequency monitoring"
Venezuela,VE,Sentinel-2 Venezuela,ESA,10/20,Raster,Venezuela (use global),sentinel2_fetch,Free/Open,Every 5 days,"Tropical cloud cover"
Mexico,MX,Sentinel-2 Mexico,ESA,10/20,Raster,Mexico (use global),sentinel2_fetch,Free/Open,Every 5 days,"Good coverage"
Mexico,MX,NAIP Northern Mexico,USDA,0.6,Raster,USA border region only,naip_fetch (guidance),Public Domain,Every 2-3 years,"Limited to US border areas"
Nigeria,NG,Sentinel-2 Nigeria,ESA,10/20,Raster,Nigeria (use global),sentinel2_fetch,Free/Open,Every 5 days,"Tropical climate, seasonal clouds"
Algeria,DZ,Sentinel-2 Algeria,ESA,10/20,Raster,Algeria (use global),sentinel2_fetch,Free/Open,Every 5 days,"Mostly arid, good imaging conditions"
Angola,AO,Sentinel-2 Angola,ESA,10/20,Raster,Angola (use global),sentinel2_fetch,Free/Open,Every 5 days,"Tropical climate"
Libya,LY,Sentinel-2 Libya,ESA,10/20,Raster,Libya (use global),sentinel2_fetch,Free/Open,Every 5 days,"Desert climate, excellent conditions"
Kazakhstan,KZ,Sentinel-2 Kazakhstan,ESA,10/20,Raster,Kazakhstan (use global),sentinel2_fetch,Free/Open,Every 5 days,"Good coverage"
Oman,OM,Sentinel-2 Oman,ESA,10/20,Raster,Oman (use global),sentinel2_fetch,Free/Open,Every 5 days,"Arid climate, cloud-free"
Indonesia,ID,Sentinel-2 Indonesia,ESA,10/20,Raster,Indonesia (use global),sentinel2_fetch,Free/Open,Every 5 days,"Frequent tropical cloud cover"
Indonesia,ID,PlanetScope Indonesia,Planet,3,Raster,Indonesia (use global),planet_fetch (guidance),Commercial,Daily,"High frequency helps with clouds"
Malaysia,MY,Sentinel-2 Malaysia,ESA,10/20,Raster,Malaysia (use global),sentinel2_fetch,Free/Open,Every 5 days,"Tropical climate, frequent clouds"
Azerbaijan,AZ,Sentinel-2 Azerbaijan,ESA,10/20,Raster,Azerbaijan (use global),sentinel2_fetch,Free/Open,Every 5 days,"Good coverage"
Egypt,EG,Sentinel-2 Egypt,ESA,10/20,Raster,Egypt (use global),sentinel2_fetch,Free/Open,Every 5 days,"Desert climate, excellent imaging"



