Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
Italy,IT,ISTAT Population Density,ISTAT,Municipality,Vector,Italy,istat_density_fetch (guidance),Free/Open,Annual,"Population by municipality"
Spain,ES,INE Population Data,INE,Municipality/Section,Vector,Spain,ine_population_fetch (guidance),Free/Open,Annual,"Spanish population statistics"
Spain,ES,Cadastre Buildings,Cadastre Spain,Vector,Vector,Spain,catastro_buildings_fetch (guidance),Free/Open,Continuous,"Spanish cadastral building footprints"
UK,GB,ONS Population Estimates,ONS,LSOA/MSOA,Vector,UK,ons_population_fetch (guidance),Open,Annual,"Population by small area"
UK,GB,OS Open Map Buildings,Ordnance Survey,Vector,Vector,UK,os_buildings_fetch (guidance),Open,Continuous,"Building outlines"
UK,GB,Index of Multiple Deprivation,UK Govt,LSOA,Vector,UK (England),imd_fetch (guidance),Open,Every 4-5 years,"Socioeconomic deprivation indicators"
Norway,NO,SSB Population Data,Statistics Norway,Grid 250m,Raster/Vector,Norway,ssb_population_fetch (guidance),Free/Open,Annual,"250m population grid"
Norway,NO,SSB Socioeconomic,Statistics Norway,Municipality,Vector,Norway,ssb_socioeconomic_fetch (guidance),Free/Open,Annual,"Income, education, employment by area"
Russia,RU,Rosstat Population,Rosstat,Federal subject/municipality,Vector,Russia,rosstat_population_fetch (guidance),Varies,Annual (census decennial),"Official Russian population statistics"
Russia,RU,WorldPop Russia,WorldPop,100,Raster,Russia (use global),worldpop_fetch,CC-BY 4.0,Annual,"Best open gridded population for Russia"
China,CN,National Population Census,National Bureau of Statistics,Township/Street,Vector,China,china_census_fetch (guidance),Restricted,Decennial (2020),"Official census (limited open access)"
China,CN,WorldPop China,WorldPop,100,Raster,China (use global),worldpop_fetch,CC-BY 4.0,Annual,"Best open gridded population for China"
China,CN,LandScan China,ORNL,1000,Raster,China,landscan_fetch (guidance),Restricted,Annual,"Alternative gridded population (requires approval)"
Australia,AU,ABS Census Data,ABS,SA1/SA2,Vector,Australia,abs_census_fetch (guidance),Free/Open,Every 5 years (2021),"Detailed demographics and socioeconomics"
Australia,AU,ABS Population Grid,ABS,1000,Raster,Australia,abs_population_grid_fetch (guidance),Free/Open,Every 5 years,"1km² population grid"
Australia,AU,Microsoft Australia Buildings,Microsoft,Vector,Vector,Australia,microsoft_buildings_au_fetch (guidance),ODbL,Static (2021),"ML-derived building footprints"
Saudi Arabia,SA,WorldPop Saudi Arabia,WorldPop,100,Raster,Saudi Arabia (use global),worldpop_fetch,CC-BY 4.0,Annual,"Best available gridded population"
Saudi Arabia,SA,GHSL Saudi Arabia,JRC,100/250,Raster,Saudi Arabia (use global),ghsl_fetch (guidance),Free/Open,Epochs,"Built-up and settlement data"
UAE,AE,WorldPop UAE,WorldPop,100,Raster,UAE (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population for UAE"
UAE,AE,GHSL UAE,JRC,100/250,Raster,UAE (use global),ghsl_fetch (guidance),Free/Open,Epochs,"Urban extent and population"
Qatar,QA,WorldPop Qatar,WorldPop,100,Raster,Qatar (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population"
Kuwait,KW,WorldPop Kuwait,WorldPop,100,Raster,Kuwait (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population"
Iraq,IQ,WorldPop Iraq,WorldPop,100,Raster,Iraq (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population, 40M+ people"
Iran,IR,WorldPop Iran,WorldPop,100,Raster,Iran (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population, 80M+ people"
Brazil,BR,IBGE Census Data,IBGE,Census Sector,Vector,Brazil,ibge_census_fetch (guidance),Free/Open,Decennial (2022),"Brazilian census demographics"
Brazil,BR,WorldPop Brazil,WorldPop,100,Raster,Brazil (use global),worldpop_fetch,CC-BY 4.0,Annual,"210M+ population gridded"
Brazil,BR,IBGE Socioeconomic Indicators,IBGE,Municipality,Vector,Brazil,ibge_socioeconomic_fetch (guidance),Free/Open,Annual,"Income, education, employment"
Venezuela,VE,WorldPop Venezuela,WorldPop,100,Raster,Venezuela (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population"
Mexico,MX,INEGI Census Data,INEGI,AGEB/Manzana,Vector,Mexico,inegi_census_fetch (guidance),Free/Open,Decennial (2020),"Mexican census"
Mexico,MX,WorldPop Mexico,WorldPop,100,Raster,Mexico (use global),worldpop_fetch,CC-BY 4.0,Annual,"125M+ population gridded"
Mexico,MX,INEGI Marginalization Index,CONAPO/INEGI,Municipality/Locality,Vector,Mexico,marginalizacion_fetch (guidance),Free/Open,Every 5 years,"Socioeconomic marginalization indicator"
Nigeria,NG,WorldPop Nigeria,WorldPop,100,Raster,Nigeria (use global),worldpop_fetch,CC-BY 4.0,Annual,"200M+ population, high resolution"
Nigeria,NG,GHSL Nigeria,JRC,100,Raster,Nigeria (use global),ghsl_fetch (guidance),Free/Open,Epochs,"Urban population and settlements"
Algeria,DZ,WorldPop Algeria,WorldPop,100,Raster,Algeria (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population"
Angola,AO,WorldPop Angola,WorldPop,100,Raster,Angola (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population"
Libya,LY,WorldPop Libya,WorldPop,100,Raster,Libya (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population"
Kazakhstan,KZ,WorldPop Kazakhstan,WorldPop,100,Raster,Kazakhstan (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population"
Oman,OM,WorldPop Oman,WorldPop,100,Raster,Oman (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population"
Indonesia,ID,BPS Census Data,BPS,Village (Desa),Vector,Indonesia,bps_census_fetch (guidance),Free/Open,Decennial (2020),"Indonesian census, 270M+ people"
Indonesia,ID,WorldPop Indonesia,WorldPop,100,Raster,Indonesia (use global),worldpop_fetch,CC-BY 4.0,Annual,"High-resolution population"
Malaysia,MY,DOSM Census Data,DOSM,Mukim,Vector,Malaysia,dosm_census_fetch (guidance),Free/Open,Decennial (2020),"Malaysian census"
Malaysia,MY,WorldPop Malaysia,WorldPop,100,Raster,Malaysia (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population"
Azerbaijan,AZ,WorldPop Azerbaijan,WorldPop,100,Raster,Azerbaijan (use global),worldpop_fetch,CC-BY 4.0,Annual,"Gridded population"
Egypt,EG,CAPMAS Census Data,CAPMAS,District,Vector,Egypt,capmas_census_fetch (guidance),Limited,Decennial (2017),"Egyptian census (limited open access)"
Egypt,EG,WorldPop Egypt,WorldPop,100,Raster,Egypt (use global),worldpop_fetch,CC-BY 4.0,Annual,"100M+ population gridded"



