Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
Europe,EU,TENtec Transport Network,EC,Vector,Vector,EU27,tentec_fetch (guidance),Free/Open,Annual,"Trans-European transport network: roads, rail, airports, ports"
Europe,EU,ENTSO-E Transmission Grid,ENTSO-E,Vector,Vector,Europe,entsoe_grid_fetch (guidance),Open,Annual,"European electricity transmission system operators"
Europe,EU,ENTSOG Gas Transmission,ENTSOG,Vector,Vector,Europe,entsog_fetch (guidance),Open,Annual,"European gas transmission network"
Europe,EU,OpenStreetMap Europe Infrastructure,OSM,Vector,Vector,Europe,osm_roads_fetch,ODbL,Continuous,"Comprehensive European OSM coverage"
France,FR,Route500,IGN France,Vector (1:500k),Vector,France,route500_fetch (guidance),Open,Annual,"French road network"
France,FR,BD TOPO Routes,IGN France,Vector (1:15k),Vector,France,bdtopo_roads_fetch (guidance),Open,Continuous,"High-detail road network"
France,FR,RTE Transmission Lines,RTE France,Vector,Vector,France,rte_power_fetch (guidance),Open,Annual,"French electricity transmission operator"
France,FR,GRTgaz Pipeline Network,GRTgaz,Vector,Vector,France,grtgaz_fetch (guidance),Open,Annual,"French gas transmission system operator"
Germany,DE,ATKIS Verkehr,BKG,Vector,Vector,Germany,atkis_transport_fetch (guidance),Free/Open,Continuous,"German official transport infrastructure"
Germany,DE,OpenStreetMap Germany,OSM,Vector,Vector,Germany,osm_roads_fetch,ODbL,Continuous,"Very complete German OSM data"
Italy,IT,OpenStreetMap Italy,OSM,Vector,Vector,Italy,osm_roads_fetch,ODbL,Continuous,"Well-mapped Italian infrastructure"
Italy,IT,Terna Transmission Grid,Terna Italy,Vector,Vector,Italy,terna_grid_fetch (restricted - contact provider),Restricted,Annual,"Italian electricity transmission - requires direct request"
Italy,IT,Snam Gas Network,Snam,Vector,Vector,Italy,snam_gas_fetch (restricted - contact provider),Restricted,Annual,"Italian gas transmission - requires direct request"
Spain,ES,Centro de Descargas Roads,IGN Spain,Vector,Vector,Spain,ign_roads_fetch (guidance),Free/Open,Continuous,"Spanish road network"
Spain,ES,Red Electrica Transmission,REE Spain,Vector,Vector,Spain,ree_power_fetch (guidance),Open,Annual,"Spanish electricity transmission"
UK,GB,OS Open Roads,Ordnance Survey,Vector,Vector,UK,os_roads_fetch (guidance),Open,Continuous,"UK road network, good coverage"
UK,GB,National Grid Transmission,National Grid UK,Vector,Vector,UK (England/Wales),national_grid_fetch (guidance),Open,Annual,"Electricity transmission"
UK,GB,Network Rail Infrastructure,Network Rail,Vector,Vector,UK,network_rail_fetch (guidance),Varies,Continuous,"UK rail network"
Norway,NO,Elveg Road Network,Norwegian Mapping Authority,Vector,Vector,Norway,elveg_fetch (guidance),Free/Open,Continuous,"Norwegian national road database"
Norway,NO,N50 Transport,Kartverket,Vector (1:50k),Vector,Norway,n50_transport_fetch (guidance),Free/Open,Continuous,"Roads and rail from topographic database"
Norway,NO,Statnett Transmission,Statnett,Vector,Vector,Norway,statnett_fetch (guidance),Open,Annual,"Norwegian electricity transmission"
Norway,NO,Gassco Pipeline System,Gassco,Vector,Vector,Norway (offshore + land),gassco_fetch (guidance),Open,Annual,"Norwegian gas transmission"
Russia,RU,OpenStreetMap Russia,OSM,Vector,Vector,Russia,osm_roads_fetch,ODbL,Continuous,"Major roads and infrastructure well-mapped"
Russia,RU,Unified Gas Supply System,Gazprom,Vector,Vector,Russia,gazprom_pipelines_fetch (guidance),Restricted,Varies,"Russian gas transmission (limited public data)"
China,CN,OpenStreetMap China,OSM,Vector,Vector,China,osm_roads_fetch,ODbL,Continuous,"Urban areas well-mapped, rural variable"
China,CN,National Catalogue Service,NFGIS,Vector,Vector,China,nfgis_transport_fetch (guidance),Restricted,Varies,"Official Chinese infrastructure (restricted access)"
Australia,AU,Geoscape Transport,Geoscape Australia,Vector,Vector,Australia,geoscape_transport_fetch (guidance),Commercial,Annual,"Comprehensive Australian transport"
Australia,AU,PSMA Roads,PSMA Australia,Vector,Vector,Australia,psma_roads_fetch (guidance),Commercial,Annual,"High-quality road network (commercial)"
Australia,AU,OpenStreetMap Australia,OSM,Vector,Vector,Australia,osm_roads_fetch,ODbL,Continuous,"Good coverage, free alternative"
Australia,AU,National Pipelines Map,Geoscience Australia,Vector,Vector,Australia,ga_pipelines_fetch (guidance),Free/Open,Varies,"Gas and oil transmission pipelines"
Saudi Arabia,SA,OpenStreetMap Saudi Arabia,OSM,Vector,Vector,Saudi Arabia,osm_roads_fetch,ODbL,Continuous,"Major highways well-mapped"
Saudi Arabia,SA,Saudi Aramco Network,Saudi Aramco,Vector,Vector,Saudi Arabia,aramco_pipelines_fetch (guidance),Proprietary,Varies,"Pipeline network (not publicly available)"
UAE,AE,OpenStreetMap UAE,OSM,Vector,Vector,UAE,osm_roads_fetch,ODbL,Continuous,"Urban infrastructure well-mapped"
Qatar,QA,OpenStreetMap Qatar,OSM,Vector,Vector,Qatar,osm_roads_fetch,ODbL,Continuous,"Comprehensive urban coverage"
Kuwait,KW,OpenStreetMap Kuwait,OSM,Vector,Vector,Kuwait,osm_roads_fetch,ODbL,Continuous,"Good coverage of infrastructure"
Iraq,IQ,OpenStreetMap Iraq,OSM,Vector,Vector,Iraq,osm_roads_fetch,ODbL,Continuous,"Major infrastructure mapped"
Iran,IR,OpenStreetMap Iran,OSM,Vector,Vector,Iran,osm_roads_fetch,ODbL,Continuous,"Major cities and highways"
Brazil,BR,OpenStreetMap Brazil,OSM,Vector,Vector,Brazil,osm_roads_fetch,ODbL,Continuous,"Well-mapped urban and highway network"
Brazil,BR,IBGE Transport Network,IBGE,Vector,Vector,Brazil,ibge_transport_fetch (guidance),Free/Open,Varies,"Official Brazilian transport data"
Brazil,BR,ANP Pipeline Data,ANP Brazil,Vector,Vector,Brazil,anp_pipelines_fetch (guidance),Free/Open,Annual,"National Petroleum Agency pipeline data"
Venezuela,VE,OpenStreetMap Venezuela,OSM,Vector,Vector,Venezuela,osm_roads_fetch,ODbL,Continuous,"Major infrastructure mapped"
Mexico,MX,OpenStreetMap Mexico,OSM,Vector,Vector,Mexico,osm_roads_fetch,ODbL,Continuous,"Comprehensive coverage"
Mexico,MX,INEGI Red Nacional de Caminos,INEGI,Vector,Vector,Mexico,inegi_roads_fetch (guidance),Free/Open,Continuous,"National road network"
Mexico,MX,CRE Pipeline Data,CRE Mexico,Vector,Vector,Mexico,cre_pipelines_fetch (guidance),Free/Open,Annual,"Energy Regulatory Commission pipeline data"
Nigeria,NG,OpenStreetMap Nigeria,OSM,Vector,Vector,Nigeria,osm_roads_fetch,ODbL,Continuous,"Urban areas well-mapped"
Algeria,DZ,OpenStreetMap Algeria,OSM,Vector,Vector,Algeria,osm_roads_fetch,ODbL,Continuous,"Major highways and cities"
Angola,AO,OpenStreetMap Angola,OSM,Vector,Vector,Angola,osm_roads_fetch,ODbL,Continuous,"Primary infrastructure mapped"
Libya,LY,OpenStreetMap Libya,OSM,Vector,Vector,Libya,osm_roads_fetch,ODbL,Continuous,"Coastal infrastructure mapped"
Kazakhstan,KZ,OpenStreetMap Kazakhstan,OSM,Vector,Vector,Kazakhstan,osm_roads_fetch,ODbL,Continuous,"Major cities and highways"
Oman,OM,OpenStreetMap Oman,OSM,Vector,Vector,Oman,osm_roads_fetch,ODbL,Continuous,"Good coverage of road network"
Indonesia,ID,OpenStreetMap Indonesia,OSM,Vector,Vector,Indonesia,osm_roads_fetch,ODbL,Continuous,"Extensive urban and highway coverage"
Malaysia,MY,OpenStreetMap Malaysia,OSM,Vector,Vector,Malaysia,osm_roads_fetch,ODbL,Continuous,"Comprehensive infrastructure coverage"
Azerbaijan,AZ,OpenStreetMap Azerbaijan,OSM,Vector,Vector,Azerbaijan,osm_roads_fetch,ODbL,Continuous,"Urban and major routes mapped"
Egypt,EG,OpenStreetMap Egypt,OSM,Vector,Vector,Egypt,osm_roads_fetch,ODbL,Continuous,"Urban centers and highways well-mapped"



